                  Temp     Hi    Low   Out    Dew  Wind  Wind   Wind    Hi    Hi   Wind   Heat    THW   THSW                Rain  Solar   Solar Hi Solar   UV    UV    Hi     Heat    Cool    In     In    In     In           Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir    Run Speed   Dir  Chill  Index  Index  Index   Bar    Rain  Rate   Rad.  Energy    Rad.  Index  Dose   UV     D-D     D-D    Temp   Hum    Dew   Heat     ET   Samp   Tx   Recept  Int.
17/07/14  4:10a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.1  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.4    70   18.6   25.4    0.00     0    1      0.0    5 
17/07/14  4:15a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.1  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.5    70   18.7   25.5    0.00     0    1      0.0    5 
17/07/14  4:20a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.1  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.5    70   18.7   25.5    0.00     0    1      0.0    5 
17/07/14  4:25a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.1  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.4    70   18.6   25.4    0.00     0    1      0.0    5 
17/07/14  4:30a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.1  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.3    70   18.5   25.3    0.00     0    1      0.0    5 
17/07/14  4:35a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.0  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.5    70   18.7   25.5    0.00     0    1      0.0    5 
17/07/14  4:40a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.1  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.3    70   18.5   25.3    0.00     0    1      0.0    5 
17/07/14  4:45a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.1  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.3    70   18.5   25.3    0.00     0    1      0.0    5 
17/07/14  4:50a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.1  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.4    69   18.4   25.4    0.00     0    1      0.0    5 
17/07/14  4:55a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.0  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.3    69   18.3   25.3    0.00     0    1      0.0    5 
